brand,model,model_year,milage,fuel_type,engine,ext_col,int_col,accident,price
Jaguar,F-TYPE R,2018,35250,Gasoline,550.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Green,Black,True,68750
Genesis,GV70 3.5T Sport,2023,5400,Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Green,Beige,False,60000
Chevrolet,S-10 LS,2000,133510,E85 Flex Fuel,120.0HP 2.2L 4 Cylinder Engine Flex Fuel Capability,Blue,Black,True,4500
BMW,440 Gran Coupe,2020,25990,Gasoline,3.0 Liter Turbo,White,Beige,True,38598
Ford,F-150 XLT,2023,2823,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,Iconic Silver Metallic,Black,True,58504
Chevrolet,Suburban RST,2021,52000,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,Blue,Black,True,61000
Hyundai,Elantra N Base,2022,11650,Gasoline,276.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Black,Black,True,32300
Nissan,Sentra SR,2016,96541,Gasoline,1.8 Liter,Blue,Black,True,13998
Mercedes-Benz,AMG CLA 45,2021,17500,Gasoline,382.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Gray,Black,True,59995
BMW,650 Gran Coupe,2015,69000,Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Gray,Black,True,25700
Audi,Q5 2.0T Premium,2017,81880,E85 Flex Fuel,2.0L I4 16V GDI DOHC Turbo Flexible Fuel,Mythos Black Metallic,Black,True,21375
Mercedes-Benz,AMG C 43,2018,28800,Gasoline,362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Silver,Black,True,48000
Dodge,Ram 1500 Laramie,2006,300183,Gasoline,345.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,Silver,Gray,True,10900
BMW,i3 120Ah w/Range,2020,35035,Hybrid,120 AH,Black,Black,True,24998
Kia,Sorento SX,2011,171000,Gasoline,276.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Black,Black,True,5999
Lexus,LX 570 Base,2016,118700,Gasoline,383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,Black,Beige,True,46900
Jeep,New Compass Trailhawk,2017,119000,Gasoline,180.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,Red,Black,True,15900
BMW,340 i,2018,44261,Gasoline,3.0 Liter Turbo,Gray,Black,True,33598
Audi,A4 2.0T Premium,2012,125575,Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Silver,Black,True,8999
Hyundai,Tucson SE,2007,16200,Gasoline,173.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,Gold,Beige,True,8200
BMW,Z4 sDrive28i,2014,70000,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,White,Beige,True,20000
Bentley,Continental GTC Base,2011,20200,E85 Flex Fuel,552.0HP 6.0L 12 Cylinder Engine Flex Fuel Capability,Black,Black,True,79950
Honda,Passport Elite,2023,2978,Gasoline,3.5 Liter SOHC,Lunar Silver Metallic,Gray,True,45498
Dodge,Sprinter 2500,2007,189719,Diesel,3.0L V6 Cylinder Engine Diesel Fuel,White,Gray,True,14000
BMW,M850 i xDrive,2019,9949,Gasoline,4.4 Liter DOHC Twin Turbo,Blue,Black,True,75798
Audi,A7 Premium,2012,54000,Gasoline,310.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Black,Brown,True,36880
Chevrolet,Silverado 1500 Custom,2021,51351,Gasoline,5.3L V8 16V GDI OHV,Black,Jet Black,True,43147
MINI,Convertible John Cooper,2017,24280,Gasoline,228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Black,Black,True,29000
Toyota,Avalon Touring,2016,89148,Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Black,Black,True,17500
Porsche,Cayenne Platinum Edition,2017,73043,Gasoline,300.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,White,Black,True,30990
Mercedes-Benz,AMG C 63,2017,60000,Gasoline,503.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Gray,Black,True,52500
Honda,CR-V EX-L,2016,73549,Gasoline,2.4L I4 16V GDI DOHC,Mountain Air Metallic,Black,True,20848
Hummer,H2 Base,2005,110900,Gasoline,325.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,Gray,Black,True,19500
Porsche,911 Carrera S,2013,39000,Gasoline,400.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,Blue,Black,True,73000
Mercedes-Benz,CLA-Class CLA 250,2016,120000,Gasoline,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Black,Black,True,19800
Chrysler,300 Touring,2009,134602,Gasoline,250.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Blue,Black,True,7500
Nissan,Rogue SV,2023,1094,Gasoline,1.5L I3 12V GDI DOHC Turbo,Caspian Blue,Light Gray,True,30999
Audi,A3 2.0T,2010,83500,Gasoline,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Silver,Black,True,6500
Ford,Mustang GT Premium,2014,37060,Gasoline,420.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Black,Black,True,28500
Acura,RL Technology,2010,97700,Gasoline,300.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,Blue,Beige,True,10995
Volvo,XC90 Hybrid T8,2018,40000,Plug-In Hybrid,400.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,Black,Black,True,42000
Audi,R8 5.2 V10,2018,8940,Gasoline,5.2L V10 40V PDI DOHC,Tango Red Metallic,Black,True,144900
Mercedes-Benz,GLK-Class GLK 350,2014,186000,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Black,Beige,True,10000
Toyota,C-HR LE,2021,13180,Gasoline,2.0 Liter,–,–,True,23998
Lexus,IS 350 Base,2014,104000,Gasoline,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Black,Black,True,21000
BMW,X4 M40i,2023,8500,Hybrid,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,Gray,Beige,True,67900
BMW,M4 CS,2019,19069,Gasoline,3.0 Liter DOHC Turbo,Alpine White,Anthracite,True,69998
Cadillac,CT5 Premium Luxury,2023,6090,Gasoline,237.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,White,Beige,True,46900
Audi,A5 2.0T Premium,2019,47523,Gasoline,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Black,Black,True,31000
Chrysler,300C SRT8,2006,43000,Gasoline,425.0HP 6.1L 8 Cylinder Engine Gasoline Fuel,Silver,Black,True,19995
Bentley,Continental GT W12,2017,14684,Gasoline,582.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,White,White,True,130000
BMW,M4 Base,2019,57800,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Black,Red,True,55999
Toyota,GR Corolla Circuit,2023,952,Gasoline,300.0HP 1.6L 3 Cylinder Engine Gasoline Fuel,Silver,Gray,True,49950
Audi,RS 5 2.9T,2019,21240,Gasoline,444.0HP 2.9L V6 Cylinder Engine Gasoline Fuel,Black,Black,True,59950
Porsche,Cayenne Base,2019,59338,Gasoline,335.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Black,Black,True,42499
Lamborghini,Huracan Tecnica Coupe,2023,255,Gasoline,"5.2L V-10 gasoline direct injection, DOHC, variable valve contro",BLU ELEOS,Nero Ade,True,359991
Maserati,Quattroporte S,2019,23230,Gasoline,424.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Black,Black,True,44999
Jaguar,XF 35t R-Sport,2017,48000,Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Red,Black,True,30000
Lexus,ES 330 Base,2005,41059,Gasoline,225.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,White,Beige,True,11100
Land,Rover Discovery Sport,2020,21240,Gasoline,2.0 Liter,White,Black,True,37998
Porsche,Cayman GTS,2015,11500,Gasoline,340.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel,Silver,–,True,72000
Genesis,G90 3.3T Premium,2021,9950,Gasoline,365.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,Silver,Blue,True,53950
Volkswagen,Golf R 20th,2023,633,Gasoline,315.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,White,Black,True,47999
Hyundai,Sonata Hybrid Limited,2015,66000,Hybrid,199.0HP 2.4L 4 Cylinder Engine Gas/Electric Hybrid,White,Gray,True,15900
Audi,RS 7 4.0T,2014,59715,Gasoline,560.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Gray,Black,True,45000
BMW,740 Li,2012,85252,Gasoline,326.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Black,Black,True,18500
Mercedes-Benz,GLS 450 Base,2020,17900,Hybrid,362.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,Black,Black,True,80000
BMW,M6 Base,2016,25500,Gasoline,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,White,Black,True,55000
Subaru,Forester 2.5 X,2004,210703,Gasoline,165.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Green,Beige,False,2300
Hyundai,Elantra N Base,2023,3800,Gasoline,276.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,White,Black,True,34000
Kia,Niro Plug-In Hybrid,2022,36602,Hybrid,1.6L I4 16V GDI DOHC Hybrid,Horizon Blue,Charcoal,True,31995
Aston,Martin DBS Superleggera,2021,2165,Gasoline,5.2L V12 48V GDI DOHC Twin Turbo,Black,Black,True,279950
Mercedes-Benz,SLC 300 Base,2018,33000,Gasoline,241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Red,Black,True,29900
BMW,435 Gran Coupe,2016,76009,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,White,Beige,True,24950
Jeep,Grand Cherokee Summit,2020,31349,Gasoline,5.7L V8 16V MPFI OHV,Granite Crystal Clearcoat Metallic,Black,True,39366
Lexus,RC 350 Base,2015,48000,Gasoline,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Orange,Red,True,32900
BMW,525 i,2005,91420,Gasoline,215.0HP 2.5L Straight 6 Cylinder Engine Gasoline Fuel,Black,Black,True,8900
Toyota,Corolla LE,2003,124756,Gasoline,130.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,Beige,Beige,True,4995
Cadillac,CT5-V Blackwing,2023,2415,Gasoline,6.2L V8 16V GDI OHV Supercharged,Rift Metallic,Gray,True,104900
GMC,Acadia SLT-1,2012,116226,Gasoline,288.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Black,Black,True,7900
Lexus,LC 500 Base,2020,37869,Gasoline,5.0L V8 32V PDI DOHC,Atomic Silver,Rioja Red,True,75950
BMW,i8 Base,2019,41500,Plug-In Hybrid,369.0HP 1.5L 3 Cylinder Engine Plug-In Electric/Gas,White,Black,True,86000
Lexus,ES 300h Base,2013,87001,Hybrid,200.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid,Gold,Beige,True,17995
Cadillac,CT5-V V-Series,2022,4451,Gasoline,3.0L V6 24V GDI DOHC Twin Turbo,Summit White,Jet Black,True,55655
BMW,540 i xDrive,2020,27158,Gasoline,2.0 Liter Turbo,Imperial Blue Metallic,Canberra Beige/Black,True,39998
Chevrolet,Express 1500 Work,2014,139804,Gasoline,195.0HP 4.3L V6 Cylinder Engine Gasoline Fuel,White,Gray,True,14500
Jeep,Gladiator Rubicon,2022,27300,Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Green,Black,True,47500
BMW,Z4 sDrive28i,2014,36812,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,White,Beige,True,27000
Land,Rover LR4 HSE,2016,144000,Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Black,Black,True,18000
Cadillac,XT4 Sport,2019,44500,Gasoline,237.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Blue,White,True,28900
BMW,750 750i xDrive,2021,10917,Gasoline,4.4 Liter Twin Turbo,Black,Black,True,73998
Bentley,Arnage R,2005,8332,Gasoline,400.0HP 6.75L 8 Cylinder Engine Gasoline Fuel,White,Beige,True,47350
Lincoln,Aviator Reserve AWD,2020,51247,Gasoline,3.0 Liter GTDI,Magnetic Gray Clearcoat,Roast,True,47698
Mercedes-Benz,AMG GL AMG,2016,69000,Gasoline,550.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,Black,Brown,True,36500
RAM,ProMaster 3500 High,2021,147834,Gasoline,3.6L V6 24V MPFI DOHC,Bright White Clearcoat,Black,True,32662
Ford,Utility Police Interceptor,2013,105000,E85 Flex Fuel,300.0HP 3.7L V6 Cylinder Engine Flex Fuel Capability,White,Black,True,6600
Audi,A5 2.0T Premium,2011,92203,Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Red,Beige,True,9995
Nissan,GT-R Premium,2010,15600,Gasoline,485.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,White,Black,True,69500
Land,Rover Range Rover,2018,104700,Gasoline,V6,Fuji White,Ivory / Ebony,True,30775
Toyota,Corolla LE,2010,72348,Gasoline,132.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,Red,Gray,True,9995
Mercedes-Benz,C-Class C300 4MATIC,2022,13177,Gasoline,2.0 Liter Turbo,White,Silk Beige/Black,True,44798
Porsche,Cayenne E-Hybrid S,2016,96000,Plug-In Hybrid,416.0HP 3.0L V6 Cylinder Engine Plug-In Electric/Gas,White,Red,True,23000
Chevrolet,Express 1500 Work,2011,93009,E85 Flex Fuel,5.3L V8 16V MPFI OHV Flexible Fuel,Summit White,Medium Pewter,True,22495
INFINITI,Q70h Base,2016,52750,Hybrid,360.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,White,Black,True,28998
Audi,A7 Premium Plus,2020,25361,Hybrid,3.0 Liter Turbo,Typhoon Gray,Black,True,49998
Audi,Q7 3.0T Premium,2015,98527,Gasoline,280.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Black,Black,False,9995
Audi,TTS 2.0T Premium,2012,72922,Gasoline,265.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,White,Black,False,25999
BMW,650 Gran Coupe,2015,41000,Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Black,Black,True,30000
Subaru,Forester Premium,2021,42125,Gasoline,2.5L H4 16V GDI DOHC,Crystal Black Silica,Black,True,27899
Mercedes-Benz,AMG C AMG,2016,62000,Gasoline,469.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Black,Black,True,40000
Land,Rover LR3 HSE,2006,153843,Gasoline,300.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Red,Beige,True,9950
BMW,X7 xDrive40i,2019,35248,Gasoline,3.0 Liter Twin Turbo,Arctic Gray Metallic,Black,True,53998
Ford,Transit Connect XLT,2015,194454,Gasoline,169.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,White,Black,True,9888
Lexus,LX 570 Three-Row,2021,21000,Gasoline,383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,White,Black,True,89999
Porsche,911 Carrera S,2013,18494,Gasoline,400.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,Black,Black,False,86900
Dodge,Ram 2500 Laramie,2006,218000,Gasoline,330.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,Red,Gray,True,12990
Nissan,Armada SL,2021,67800,Gasoline,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,Silver,Black,True,36500
Porsche,Cayman Base,2014,79000,Gasoline,275.0HP 2.7L Flat 6 Cylinder Engine Gasoline Fuel,Red,Black,True,42999
Mercedes-Benz,GLE 450 GLE,2022,24906,Hybrid,3.0 Liter Turbo,Selenite Grey Metallic,Black,True,63998
Chevrolet,Monte Carlo SS,2006,66840,Gasoline,303.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,White,Gray,True,12000
BMW,M5 Base,2013,86000,Gasoline,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Blue,White,True,32000
Hyundai,Kona N Base,2023,654,Gasoline,2.0L I4 16V GDI DOHC Turbo,Ultra Black,Black,True,34599
Chevrolet,Monte Carlo SS,2005,75000,Gasoline,240.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,Black,Black,True,12500
Land,Rover Range Rover,2015,84000,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Beige,Black,True,22800
Audi,S7 4.0T Premium,2017,52500,Gasoline,450.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Gray,Gray,True,39999
GMC,Acadia SLT-1,2011,120000,Gasoline,288.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Silver,Gray,True,7500
Alfa,Romeo Stelvio Ti,2020,18665,Gasoline,2.0L I4 16V GDI SOHC Turbo,Lunare White Metallic,Ice,True,35645
Ferrari,FF Base,2016,19987,Gasoline,651.0HP 6.3L 12 Cylinder Engine Gasoline Fuel,Black,Brown,True,149900
Kia,K900 5.0L,2017,36486,Gasoline,420.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Black,Beige,True,23950
Ford,E150 XLT,2013,162100,E85 Flex Fuel,255.0HP 5.4L 8 Cylinder Engine Flex Fuel Capability,Black,Gray,True,12500
Toyota,4Runner SR5,2022,28377,Gasoline,4.0L V6 24V MPFI DOHC,Silver,Gray,True,36999
Subaru,Forester Base,2020,32744,Gasoline,182.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Black,Gray,True,24000
Porsche,Panamera 2,2012,54000,Gasoline,300.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,White,–,True,26000
Toyota,Tacoma PreRunner,2008,202055,Gasoline,236.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,Silver,Gray,True,8500
RAM,2500 Laramie,2019,65000,Diesel,370.0HP 6.7L Straight 6 Cylinder Engine Diesel Fuel,Black,Black,True,65000
Kia,Sportage Nightfall,2022,9686,Gasoline,2.4L I4 16V GDI DOHC,Hyper Red,Black,True,30990
Cadillac,DTS Base,2010,49620,Gasoline,275.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,White,Gray,True,10499
Toyota,Land Cruiser Base,1997,213000,Gasoline,212.0HP 4.5L Straight 6 Cylinder Engine Gasoline Fuel,White,Beige,True,26500
Nissan,GT-R Premium,2020,16010,Gasoline,565.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,White,Black,True,114000
Lexus,NX 350 F,2023,820,Gasoline,2.4 Liter,Black,Black,True,51998
Audi,Q7 45 Premium,2021,68000,Gasoline,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Blue,Black,True,36499
Lexus,LX 470 Base,1999,82000,Gasoline,230.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,White,Beige,True,25000
GMC,Terrain SLE,2022,27352,Gasoline,1.5L I4 16V GDI DOHC Turbo,Summit White,Jet Black,True,27785
Ford,Escape Limited,2012,129000,Gasoline,171.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,White,Gray,True,7000
Lexus,LS 460 L,2014,106731,Gasoline,360.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,White,Beige,True,30000
Ford,Expedition Platinum,2019,34672,Gasoline,400.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,White,White,True,45500
Chevrolet,Malibu LTZ,2010,55900,Gasoline,252.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Beige,Beige,True,8950
Audi,RS 7 4.0T,2023,3158,Gasoline,4.0L V8 32V GDI DOHC Twin Turbo,Daytona Gray Pearl Effect,Black / Express Red,True,128900
Audi,A5 2.0T Premium,2015,82000,Gasoline,220.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,White,Brown,True,17000
Genesis,G70 2.0T,2023,4785,Gasoline,2.0L I4 16V GDI DOHC Turbo,Vik Black,Obsidian Black,True,42850
Chevrolet,Trailblazer LS,2021,20497,Gasoline,1.3L I3 12V GDI DOHC Turbo,Pacific Blue Metallic,Black,True,22999
Scion,tC Base,2013,177600,Gasoline,180.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Silver,Black,True,7100
Lincoln,MKZ Hybrid Base,2014,78568,Hybrid,188.0HP 2.0L 4 Cylinder Engine Gas/Electric Hybrid,Blue,Beige,True,15500
Ford,Transit-350 XL,2018,95000,E85 Flex Fuel,275.0HP 3.7L V6 Cylinder Engine Flex Fuel Capability,White,Gray,True,43000
Porsche,911 GT2 RS,2018,4529,Gasoline,3.8L H6 24V GDI DOHC Twin Turbo,Black,Black,True,417500
Ford,Explorer Timberline,2021,25240,Gasoline,2.3L I4 16V GDI DOHC Turbo,Gray,Ebony,True,39951
Volvo,XC90 3.2,2011,88300,Gasoline,235.0HP 3.2L Straight 6 Cylinder Engine Gasoline Fuel,Blue,Beige,True,11500
Chevrolet,Avalanche LTZ,2013,98000,E85 Flex Fuel,320.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,Silver,Black,True,27499
Audi,TT RS 2.5T,2018,20675,Gasoline,400.0HP 2.5L 5 Cylinder Engine Gasoline Fuel,Gray,Gray,True,76000
Lincoln,Navigator L,2008,95000,Gasoline,300.0HP 5.4L 8 Cylinder Engine Gasoline Fuel,Black,Black,True,10900
Hyundai,Elantra GLS,2010,107000,Gasoline,138.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Blue,Blue,True,6250
Audi,SQ5 3.0T Premium,2016,60000,Gasoline,354.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Black,Black,True,24700
Mitsubishi,Lancer Evolution GSR,2012,33000,Gasoline,291.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Black,Black,True,34999
Mercedes-Benz,Maybach S S,2016,108500,Gasoline,523.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,White,Beige,True,63500
Nissan,GT-R Premium,2017,37800,Gasoline,565.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,Orange,Orange,True,149500
Mercedes-Benz,GLS 550 Base,2018,74422,Gasoline,4.7 Liter Twin Turbo,Obsidian Black Metallic,Gray,True,44798
Chevrolet,Blazer Premier,2019,55621,Gasoline,3.6L V6 24V GDI DOHC,Silver Ice Metallic,Jet Black,True,34562
Mazda,CX-9 Grand Touring,2021,46707,Gasoline,2.5L I4 16V GDI DOHC Turbo,Sonic Silver Metallic,Black,True,32541
Ford,Expedition Max Limited,2022,26500,Gasoline,440.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,White,Beige,True,65900
Nissan,Titan XD SV,2020,10001,Gasoline,5.6L V8 32V GDI DOHC,Black,Black,True,47214
Lexus,LX 570 Three-Row,2019,19050,Gasoline,383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,Black,Beige,True,76900
Chevrolet,Traverse Premier,2020,52000,Gasoline,310.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,White,Black,True,35800
Mercedes-Benz,Sprinter High Roof,2014,65000,Diesel,188.0HP 3.0L V6 Cylinder Engine Diesel Fuel,Black,Black,True,54999
BMW,X5 3.0i,2004,140000,Gasoline,225.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Black,Beige,True,6730
Ford,Fusion SE,2018,75600,Gasoline,181.0HP 1.5L 4 Cylinder Engine Gasoline Fuel,Blue,Black,True,14950
Lincoln,MKZ Base,2015,117292,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Beige,Beige,True,12000
Ford,GT,2005,1897,Gasoline,5.4 Liter SC DOHC,White,–,True,429998
Genesis,G90 5.0 Ultimate,2017,26000,Gasoline,420.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,White,Beige,True,33600
Lexus,LC 500 Base,2022,2071,Gasoline,5.0L V8 32V PDI DOHC,Nightfall Mica,Caramel,True,99950
Ford,Shelby GT500 Base,2014,15629,Gasoline,5.8L V8 32V MPFI DOHC Supercharged,Black,Black,True,61900
Saturn,Sky Base,2008,15020,Gasoline,173.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,Silver,Red,True,18500
Audi,RS Q8 4.0T,2022,11322,Gasoline,4.0L V8 32V GDI DOHC Twin Turbo,Daytona Gray Pearl Effect,Black / Express Red,True,119900
Toyota,Land Cruiser,2016,50361,Gasoline,5.7 Liter,Silver,Black,True,65998
Mercedes-Benz,SL-Class SL 550,2013,115000,Gasoline,429.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,Black,Black,True,36000
Porsche,911 Carrera C2S,2005,28500,Gasoline,355.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,Silver,Black,True,63500
Mercedes-Benz,AMG GLA 45,2018,51700,Gasoline,375.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,White,Black,True,32000
Ford,Taurus X Limited,2008,148949,Gasoline,263.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Blue,Beige,True,3900
BMW,440 Gran Coupe,2018,39300,Gasoline,320.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,White,Beige,True,31750
Honda,S2000 CR,2008,82323,Gasoline,237.0HP 2.2L 4 Cylinder Engine Gasoline Fuel,Black,Black,True,28500
Acura,Integra w/A-Spec Tech,2023,3574,Gasoline,1.5 Liter Turbo,Apex Blue,Orchid,True,34998
